model,row,equation,mean,std,p05,p95,ess,geweke_z
baseline,const,cpi_yoy,-0.9524807623205476,1.649880899697701,-3.6664706270649177,1.7645369916133016,7921.5787060667735,0.7412617095983269
baseline,const,policy_rate,0.20175097556508703,0.4738306758970611,-0.5735720336149782,0.974791941124426,8000.0,-1.7632638841810786
baseline,const,plneur,0.5851713188018131,0.1547654343699957,0.32586307474835147,0.8403609586908647,7749.444590183594,-0.923353021038227
baseline,cpi_l1,cpi_yoy,1.0823936210170004,0.042308247986291576,1.0127186369554138,1.1519753452579313,8000.0,-0.359392084327618
baseline,cpi_l1,policy_rate,0.04275322470012869,0.012287625552187636,0.022768829555682938,0.06310896472550301,8000.0,-1.209663668697219
baseline,cpi_l1,plneur,0.005642322916924461,0.004063332820110681,-0.000996706572215125,0.012310353673995187,8000.0,-1.184231190808178
baseline,rate_l1,cpi_yoy,0.2490562132839404,0.13367653768235863,0.025847964138965365,0.46546774022057497,8000.0,1.8490650285670158
baseline,rate_l1,policy_rate,1.1363402962917337,0.038918111197093964,1.0712141434685452,1.199176335655635,8000.0,1.2213900598935834
baseline,rate_l1,plneur,-0.00558338157347626,0.01286661374226023,-0.026653887910877007,0.01544352318743094,7775.537907316294,-0.6537264375443501
baseline,fx_l1,cpi_yoy,0.4752951338744695,0.5248787531889384,-0.3953514127026572,1.3389734664775188,7983.929173856876,0.4386712976180382
baseline,fx_l1,policy_rate,-0.055885003069765966,0.15337885917797595,-0.3102301985514933,0.19501220281710613,8000.0,0.850275122995504
baseline,fx_l1,plneur,0.9259154284124209,0.049487306364198375,0.8444484772801576,1.0067273965369645,7418.748034981073,1.4934137036132342
baseline,cpi_l2,cpi_yoy,-0.09063037555680714,0.039507710079279626,-0.15592596265434686,-0.025441025650553152,8000.0,0.15390551102827676
baseline,cpi_l2,policy_rate,-0.02363352720650326,0.011497198819838322,-0.04263509820522411,-0.004654822223704959,7346.881448934994,-0.07957058345493051
baseline,cpi_l2,plneur,-0.00018158225150295847,0.0037785845059860007,-0.0063862528112358305,0.00600321301956222,8000.0,0.44113124273011173
baseline,rate_l2,cpi_yoy,-0.3184883736359977,0.12609276206445702,-0.520729922341923,-0.10757923400092996,8000.0,-1.9783362412563237
baseline,rate_l2,policy_rate,-0.16301977847466673,0.03682156552479597,-0.22315367085556773,-0.10206467303199157,8000.0,-0.5256517115500351
baseline,rate_l2,plneur,-0.0039826115631368154,0.012100000998634407,-0.023943450049516618,0.016093183693078605,7680.956153028774,0.7570223071406913
baseline,fx_l2,cpi_yoy,-0.1955086720077762,0.42523870859190116,-0.8935861301157355,0.500956351007806,8000.0,-1.2268583912805835
baseline,fx_l2,policy_rate,0.013961797393465758,0.12355402634304789,-0.18995524821667006,0.21871188491805107,7838.356413763163,0.4982882438601534
baseline,fx_l2,plneur,-0.05943803533188104,0.04049500371654473,-0.12662629483119617,0.006564278705495182,7513.947873936675,-0.9477220218242359
